type	latitude	longitude	altitude	name	desc
T	46.001010000	-123.610230000	1059.0		
T	46.000930000	-123.610060000	1057.5		
T	46.000790000	-123.609850000	1057.9		
T	46.000500000	-123.609510000	1064.0		
T	45.999040000	-123.608040000	1111.5		
T	45.998750000	-123.607810000	1115.9		
T	45.998570000	-123.607730000	1116.7		
T	45.998480000	-123.607710000	1118.7		
T	45.998370000	-123.607720000	1119.6		
T	45.998130000	-123.607840000	1122.8		
T	45.997920000	-123.607980000	1126.8		
T	45.997740000	-123.608020000	1129.4		
T	45.997670000	-123.608010000	1130.5		
T	45.997480000	-123.607950000	1137.1		
T	45.996120000	-123.607100000	1161.0		
T	45.995870000	-123.606900000	1166.8		
T	45.995770000	-123.606750000	1173.8		
T	45.995680000	-123.606540000	1174.8		
T	45.995520000	-123.606010000	1177.1		
T	45.995520000	-123.605980000	1178.2		
T	45.995280000	-123.605170000	1188.4		
T	45.995220000	-123.604760000	1193.0		
T	45.995220000	-123.604470000	1196.2		
T	45.995360000	-123.603250000	1215.1		
T	45.995340000	-123.602900000	1220.4		
T	45.995260000	-123.602670000	1221.9		
T	45.995170000	-123.602520000	1224.4		
T	45.995060000	-123.602400000	1229.3		
T	45.994910000	-123.602300000	1232.8		
T	45.994830000	-123.602270000	1234.9		
T	45.994810000	-123.602270000	1235.4		
T	45.994760000	-123.602250000	1235.6		
T	45.992850000	-123.601930000	1271.9		
T	45.991740000	-123.601800000	1253.4		
T	45.991180000	-123.601830000	1244.6		
T	45.990330000	-123.601990000	1232.3		
T	45.990220000	-123.602030000	1231.5		
T	45.990070000	-123.602120000	1230.2		
T	45.989930000	-123.602270000	1227.0		
T	45.989910000	-123.602280000	1226.8		
T	45.989820000	-123.602370000	1224.0		
T	45.989750000	-123.602420000	1221.6		
T	45.989580000	-123.602500000	1218.3		
T	45.989450000	-123.602490000	1215.7		
T	45.989370000	-123.602460000	1214.0		
T	45.989230000	-123.602380000	1210.3		
T	45.989120000	-123.602280000	1208.8		
T	45.988890000	-123.602010000	1206.7		
T	45.988790000	-123.601920000	1206.9		
T	45.988670000	-123.601840000	1205.5		
T	45.988460000	-123.601820000	1202.2		
T	45.988450000	-123.601830000	1202.0		
T	45.988280000	-123.601880000	1196.8		
T	45.988270000	-123.601890000	1196.5		
T	45.987610000	-123.602180000	1182.2		
T	45.987430000	-123.602290000	1178.2		
T	45.987290000	-123.602440000	1174.9		
T	45.986250000	-123.604110000	1139.5		
T	45.986190000	-123.604180000	1136.9		
T	45.986190000	-123.604190000	1137.0		
T	45.986060000	-123.604310000	1134.2		
T	45.985990000	-123.604350000	1133.3		
T	45.985870000	-123.604390000	1130.1		
T	45.985660000	-123.604360000	1125.0		
T	45.985300000	-123.604160000	1116.7		
T	45.985150000	-123.604120000	1114.1		
T	45.985000000	-123.604130000	1110.6		
T	45.984770000	-123.604240000	1105.9		
T	45.984520000	-123.604450000	1099.0		
T	45.984520000	-123.604460000	1098.9		
T	45.984350000	-123.604630000	1093.2		
T	45.984250000	-123.604700000	1089.8		
